n_in,final,a,b,c,d,a1,b1,c1,d1,a2,b2,c2,d2,a3,b3,c3,d3
2009072008,0.015,1.03,0.19,79.59,1.05,0.88,0.23,75.64,0.91,1.14,0.25,77.66,1.17,1.16,-0.04,92.19,1.16
2009072009,0.005,1.03,0.03,88.46,1.03,0.75,0.16,78.05,0.77,0.94,0.1,83.72,0.94,1.05,-0.07,93.88,1.05
2009072010,0,0.89,0.11,83.04,0.89,0.6,0.24,68.59,0.65,0.67,0.13,78.62,0.68,0.69,0.25,70.23,0.73
2009072011,0,0.67,0.31,65.42,0.73,0.45,0.4,48.72,0.6,0.39,0.27,55.05,0.48,0.25,0.72,18.9,0.76
2009072012,0,0.48,0.4,50.09,0.63,0.35,0.54,33.26,0.64,0.2,0.39,26.83,0.43,-0.07,1.03,356.05,1.03
2009072013,0,0.33,0.57,29.78,0.66,0.13,0.37,20.12,0.39,-0.1,0.97,354.08,0.98,0.54,0.52,45.87,0.75
2009072014,0,0.36,0.52,34.82,0.63,0.2,0.27,36.04,0.34,0.06,0.7,5.06,0.71,0.66,0.27,68.11,0.72
2009072015,0,0.42,0.42,45.01,0.6,0.36,0.2,61.46,0.41,0.26,0.47,29.22,0.54,0.67,0.3,65.94,0.73
2009072016,0,0.49,0.34,55.29,0.6,0.57,0.2,70.48,0.61,0.37,0.46,38.88,0.59,0.58,0.53,47.27,0.79
2009072017,0,0.54,0.32,59.37,0.62,0.76,0.3,68.73,0.82,0.37,0.64,30.19,0.74,0.45,0.9,26.42,1.01
2009072018,0,0.52,0.4,52.6,0.66,0.84,0.46,61.44,0.95,0.27,0.9,16.67,0.94,0.33,1.33,13.84,1.37
2009072019,0.015,0.42,0.6,35.07,0.74,0.74,0.65,48.6,0.99,0.09,1.16,4.23,1.16,0.25,1.74,8.21,1.76
2009072020,0.01,0.25,0.84,16.7,0.87,0.53,0.84,32.55,0.99,-0.14,1.34,354.17,1.35,0.19,2.03,5.32,2.04
2009072021,0.015,0.02,0.97,1.24,0.97,0.3,0.94,17.65,0.98,-0.35,1.36,345.76,1.4,0.1,2.11,2.64,2.11
2009072022,0,-0.25,0.94,345.32,0.97,0.1,0.92,5.98,0.92,-0.51,1.2,336.96,1.3,-0.06,1.9,358.21,1.9
2009072023,0,-0.53,0.86,328.36,1.01,-0.11,0.85,352.51,0.86,-0.68,0.99,325.47,1.2,-0.27,1.49,349.57,1.52
2009072100,0.04,-0.8,0.89,317.96,1.2,-0.39,0.84,334.89,0.92,-0.93,0.92,314.6,1.31,-0.53,0.98,331.44,1.11
2009072101,0.035,-0.78,0.95,320.86,1.23,-1.29,1.11,310.83,1.7,-0.81,0.48,300.61,0.94,-0.55,2.19,345.86,2.26
2009072102,0.02,-1.15,1.18,315.87,1.65,-1.6,1.48,312.7,2.18,-1.09,0.18,279.31,1.1,-0.6,2.47,346.42,2.54
2009072103,0.03,-1.35,1.48,317.63,2.01,-1.66,1.85,318.05,2.48,-1.32,0.26,281.09,1.35,-0.54,2.66,348.43,2.72
2009072104,0.03,-1.3,1.81,324.4,2.23,-1.36,2.09,326.95,2.5,-1.49,0.81,298.59,1.7,-0.46,2.77,350.6,2.81
2009072105,0.01,-1.11,2.11,332.32,2.38,-0.97,2.18,336.03,2.39,-1.63,1.53,313.29,2.23,-0.42,2.75,351.28,2.78
2009072106,0.03,-0.96,2.3,337.41,2.5,-0.85,2.11,338.15,2.27,-1.76,2.01,318.74,2.67,-0.53,2.54,348.26,2.59
2009072107,0.055,-0.99,2.35,337.06,2.55,-1.23,1.89,326.95,2.26,-1.93,1.95,315.27,2.75,-0.83,2.14,338.68,2.29
2009072108,0.03,-1.2,2.28,332.24,2.57,-1.89,1.61,310.48,2.49,-2.16,1.54,305.46,2.65,-1.26,1.72,323.83,2.14
2009072109,0.05,-1.51,2.13,324.61,2.61,-2.49,1.4,299.37,2.85,-2.44,1.05,293.33,2.66,-1.69,1.52,311.98,2.27
2009072110,0.08,-1.88,1.95,316.1,2.7,-2.76,1.33,295.68,3.06,-2.79,0.75,284.99,2.89,-2.03,1.66,309.37,2.62
2009072111,0.18,-2.24,1.8,308.86,2.87,-2.81,1.35,295.63,3.12,-3.13,0.66,281.86,3.2,-2.28,1.96,310.66,3.01
2009072112,0.115,-2.53,1.74,304.51,3.07,-2.86,1.4,296.06,3.19,-3.37,0.77,282.91,3.46,-2.49,2.14,310.58,3.28
2009072113,0.06,-3.05,1.43,295.08,3.36,-3.46,1.08,287.24,3.63,-2.68,2,306.67,3.34,-3.15,0.72,282.94,3.23
2009072114,0.045,-3.29,1.49,294.42,3.61,-3.47,1.5,293.45,3.78,-2.82,1.69,300.97,3.29,-3.33,1.09,288.15,3.5
2009072115,0.12,-3.46,1.7,296.13,3.85,-3.49,1.99,299.75,4.02,-2.86,1.45,296.91,3.21,-3.52,1.51,293.29,3.83
2009072116,0.085,-3.46,2.09,301.12,4.04,-3.59,2.47,304.55,4.36,-2.79,1.45,297.5,3.15,-3.69,1.94,297.76,4.17
2009072117,0.06,-3.4,2.59,307.29,4.27,-3.77,2.89,307.47,4.75,-2.67,1.62,301.18,3.12,-3.8,2.3,301.21,4.45
2009072118,0.025,-3.42,3.07,311.95,4.6,-3.96,3.17,308.7,5.08,-2.58,1.8,304.93,3.15,-3.83,2.53,303.47,4.6
2009072119,0.01,-3.6,3.43,313.59,4.97,-4.12,3.28,308.53,5.26,-2.58,1.91,306.51,3.21,-3.75,2.58,304.53,4.55
2009072120,0.065,-3.75,3.56,313.49,5.17,-4.13,3.18,307.59,5.21,-2.61,1.97,307.03,3.27,-3.53,2.47,304.97,4.3
2009072121,0.14,-3.61,3.38,313.07,4.95,-3.89,2.86,306.35,4.83,-2.57,2.04,308.38,3.28,-3.14,2.24,305.48,3.86
2009072122,0.1,-3.04,2.85,313.19,4.17,-3.33,2.34,305.08,4.07,-2.42,2.15,311.66,3.23,-2.61,1.96,306.91,3.26
2009072123,0.05,-2.33,2.18,313.04,3.19,-2.69,1.79,303.67,3.23,-2.21,2.21,315.02,3.13,-2.04,1.72,310.13,2.67
2009072200,0.02,-1.91,1.61,310.04,2.5,-2.25,1.43,302.43,2.66,-2.07,2.11,315.52,2.95,-1.62,1.66,315.64,2.32
2009072201,0.045,-2.21,1.4,302.31,2.62,-2.06,1.76,310.38,2.71,-1.46,1.84,321.43,2.35,-1.36,1.65,320.66,2.14
2009072202,0.075,-2.43,1.59,303.3,2.9,-2.16,1.28,300.66,2.51,-1.52,2.1,324.18,2.59,-1.35,1.88,324.38,2.31
2009072203,0.155,-2.64,1.83,304.77,3.21,-2.29,0.85,290.39,2.45,-1.7,2.26,323.14,2.83,-1.56,1.82,319.44,2.4
2009072204,0.135,-2.66,1.96,306.43,3.3,-2.4,0.6,284.03,2.47,-1.91,2.17,318.59,2.89,-1.9,1.58,309.64,2.47
2009072205,0.13,-2.52,1.94,307.6,3.17,-2.44,0.5,281.65,2.49,-2.1,1.9,312.13,2.83,-2.26,1.28,299.5,2.59
2009072206,0.115,-2.29,1.73,307.09,2.88,-2.39,0.51,282,2.44,-2.17,1.57,305.77,2.68,-2.49,1.06,293.07,2.71
2009072207,0.115,-2.08,1.36,303.1,2.49,-2.24,0.57,284.2,2.31,-2.12,1.29,301.36,2.48,-2.52,1.03,292.19,2.72
2009072208,0.085,-2.01,0.92,294.68,2.22,-2.11,0.68,287.8,2.22,-2.06,1.12,298.45,2.35,-2.43,1.12,294.84,2.67
2009072209,0.11,-2.21,0.58,284.57,2.29,-2.12,0.84,291.67,2.28,-2.19,1.08,296.31,2.44,-2.33,1.25,298.21,2.65
2009072210,0.02,-2.75,0.43,278.94,2.78,-2.35,1.07,294.41,2.58,-2.59,1.2,294.86,2.86,-2.35,1.35,299.83,2.71
2009072211,0.04,-3.38,0.53,278.97,3.42,-2.67,1.35,296.86,2.99,-3.11,1.45,294.98,3.43,-2.51,1.45,299.97,2.9
2009072212,0.13,-3.81,0.9,283.26,3.92,-2.91,1.71,300.4,3.37,-3.49,1.78,297.03,3.92,-2.82,1.61,299.72,3.25
2009072213,0.201,-2.94,2.12,305.89,3.62,-3.56,2.15,301.16,4.16,-3.25,1.88,300.03,3.75,-2.67,2.13,308.59,3.42
2009072214,0.085,-2.8,2.56,312.44,3.79,-3.4,2.5,306.38,4.22,-3.63,2.24,301.67,4.26,-2.86,2.07,305.94,3.53
2009072215,0.05,-2.57,2.94,318.79,3.9,-3.14,2.76,311.33,4.19,-3.75,2.66,305.33,4.6,-3.14,2.07,303.39,3.76
2009072216,0.1,-2.33,3.22,324.17,3.97,-2.9,2.9,315.02,4.1,-3.5,3.11,311.64,4.68,-3.43,2.12,301.74,4.03
2009072217,0.13,-1.99,3.4,329.68,3.93,-2.6,2.99,318.99,3.96,-3.02,3.52,319.3,4.64,-3.59,2.29,302.52,4.26
2009072218,0.13,-1.46,3.47,337.22,3.76,-2.15,3.15,325.7,3.81,-2.55,3.79,326,4.57,-3.48,2.65,307.29,4.38
2009072219,0.16,-0.71,3.45,348.36,3.52,-1.49,3.43,336.56,3.74,-2.26,3.85,329.57,4.46,-3.03,3.21,316.72,4.41
2009072220,0.17,0.01,3.35,0.12,3.35,-0.76,3.68,348.27,3.76,-2.08,3.66,330.48,4.21,-2.39,3.68,326.95,4.39
2009072221,0.145,0.38,3.2,6.77,3.22,-0.17,3.68,357.37,3.68,-1.87,3.2,329.76,3.71,-1.82,3.67,333.65,4.1
2009072222,0.155,0.21,3.01,4,3.02,0.15,3.29,2.66,3.29,-1.55,2.49,328.1,2.93,-1.49,2.97,333.34,3.32
2009072223,0.095,-0.22,2.79,355.45,2.8,0.24,2.68,5.02,2.69,-1.18,1.74,325.76,2.1,-1.4,1.95,324.24,2.4
2009072300,0.09,-0.52,2.53,348.4,2.58,0.16,2.11,4.33,2.11,-0.87,1.22,324.53,1.5,-1.49,1.12,306.82,1.87
2009072301,0.08,0,1.77,359.84,1.77,-0.7,1.13,328.28,1.33,-1.69,0.86,296.86,1.9,-1.84,2.01,317.58,2.73
2009072302,0.095,-0.23,1.69,352.16,1.7,-0.67,1.31,332.86,1.47,-1.9,0.99,297.51,2.14,-1.59,1.98,321.19,2.54
2009072303,0.145,-0.51,1.81,344.32,1.87,-0.77,1.51,333.09,1.7,-1.99,1.19,300.96,2.32,-1.55,1.88,320.48,2.43
2009072304,0.261,-0.8,2.07,338.97,2.22,-0.96,1.56,328.4,1.83,-1.9,1.22,302.75,2.25,-1.65,1.74,316.47,2.4
2009072305,0.19,-1.01,2.35,336.86,2.56,-1.16,1.5,322.34,1.9,-1.75,1.09,302,2.07,-1.8,1.6,311.64,2.41
2009072306,0.201,-1.02,2.49,337.72,2.69,-1.28,1.47,318.93,1.95,-1.73,0.91,297.65,1.96,-1.9,1.52,308.58,2.43
2009072307,0.14,-0.78,2.39,341.97,2.51,-1.26,1.53,320.57,1.98,-1.96,0.75,291,2.1,-1.89,1.51,308.68,2.42
2009072308,0.11,-0.42,2.2,349.17,2.24,-1.21,1.62,323.36,2.02,-2.37,0.74,287.41,2.48,-1.88,1.56,309.69,2.44
2009072309,0.04,-0.15,2.15,356.1,2.15,-1.28,1.65,322.15,2.09,-2.82,0.99,289.32,2.99,-2.06,1.64,308.55,2.63
2009072310,0.055,-0.11,2.36,357.38,2.36,-1.59,1.53,313.87,2.21,-3.21,1.5,295.08,3.55,-2.53,1.71,304.01,3.06
2009072311,0.095,-0.31,2.69,353.48,2.71,-2.09,1.29,301.72,2.46,-3.59,1.92,298.12,4.07,-3.24,1.74,298.24,3.68
2009072312,0.201,-0.71,2.93,346.39,3.01,-2.71,1,290.24,2.89,-4.01,1.76,293.71,4.38,-4.05,1.69,292.7,4.39
2009072313,0.17,-3.35,0.7,281.83,3.42,-4.53,0.76,279.58,4.59,-4.84,1.52,287.42,5.07,-3.53,0.78,282.52,3.62
2009072314,0.211,-3.93,0.49,277.09,3.96,-5.07,-0.57,263.63,5.1,-5.46,1.09,281.24,5.57,-3.85,0.03,270.41,3.85
2009072315,0.17,-4.35,0.45,275.9,4.38,-5.52,-1.52,254.57,5.73,-5.78,0.25,272.48,5.78,-4.03,-0.56,262.12,4.07
2009072316,0.09,-4.55,0.64,277.99,4.6,-5.81,-1.59,254.66,6.02,-5.67,-1.05,259.52,5.77,-4.08,-0.99,256.29,4.2
2009072317,0.05,-4.52,0.96,281.98,4.62,-5.88,-1.03,260.09,5.97,-5.18,-2.52,244.03,5.77,-3.97,-1.31,251.69,4.18
2009072318,0.005,-4.27,1.28,286.61,4.46,-5.7,-0.27,267.3,5.7,-4.39,-3.81,229.09,5.81,-3.7,-1.55,247.23,4.01
2009072319,0,-3.82,1.47,291.09,4.09,-5.2,0.31,273.44,5.21,-3.37,-4.6,216.22,5.7,-3.25,-1.73,241.97,3.68
2009072320,0,-3.14,1.52,295.87,3.49,-4.29,0.63,278.35,4.34,-2.15,-4.88,203.79,5.33,-2.64,-1.81,235.47,3.2
2009072321,0.005,-2.21,1.41,302.55,2.62,-2.84,0.67,283.23,2.92,-0.78,-4.71,189.43,4.78,-1.88,-1.76,226.91,2.58
2009072322,0.045,-1.05,1.15,317.47,1.56,-0.85,0.45,297.79,0.96,0.65,-4.17,171.14,4.22,-1.02,-1.54,213.58,1.85
2009072323,0.075,0.13,0.83,8.6,0.84,1.18,0.14,83.27,1.19,1.87,-3.34,150.77,3.83,-0.21,-1.24,189.49,1.26
2009072400,0.04,1.08,0.59,61.4,1.24,2.62,-0.06,91.2,2.62,2.55,-2.34,132.59,3.46,0.41,-0.94,156.76,1.03
2009072401,0.01,3.05,0.01,89.83,3.05,2.5,-1.3,117.53,2.82,0.71,-0.73,136.04,1.02,1.71,-1.2,125.02,2.08
2009072402,0.005,2.86,0.23,85.41,2.87,2.1,-0.43,101.67,2.14,0.82,-0.58,125.12,1.01,1.6,-0.98,121.59,1.88
2009072403,0,2.63,0.44,80.42,2.66,1.84,0.04,88.79,1.84,0.95,-0.44,114.79,1.04,1.64,-0.97,120.63,1.91
2009072404,0,2.78,0.52,79.32,2.83,2.1,-0.02,90.6,2.1,1.22,-0.28,102.73,1.25,1.79,-1.08,121.17,2.09
2009072405,0.005,3.13,0.5,80.96,3.17,2.59,-0.37,98.04,2.61,1.59,-0.13,94.63,1.59,1.92,-1.16,121.12,2.25
2009072406,0.02,3.33,0.42,82.72,3.35,2.87,-0.64,102.64,2.94,1.97,-0.05,91.54,1.97,1.96,-1.06,118.54,2.23
2009072407,0.025,3.13,0.36,83.44,3.15,2.65,-0.6,102.69,2.72,2.28,-0.09,92.15,2.28,1.82,-0.7,111.01,1.95
2009072408,0.015,2.76,0.33,83.1,2.78,2.15,-0.32,98.38,2.17,2.51,-0.2,94.5,2.52,1.66,-0.26,98.82,1.68
2009072409,0,2.52,0.37,81.68,2.55,1.71,0.02,89.27,1.71,2.69,-0.34,97.3,2.71,1.66,0.01,89.8,1.66
2009072410,0,2.65,0.48,79.76,2.69,1.58,0.28,80.14,1.61,2.81,-0.48,99.62,2.85,1.94,-0.09,92.58,1.94
2009072411,0,3.03,0.65,77.98,3.1,1.69,0.43,75.57,1.74,2.9,-0.53,100.36,2.95,2.37,-0.4,99.59,2.41
2009072412,0.015,3.46,0.84,76.36,3.56,1.83,0.52,74.12,1.9,3,-0.45,98.43,3.04,2.76,-0.72,104.6,2.85
2009072413,0.03,1.88,0.56,73.5,1.96,3.12,-0.19,93.54,3.12,2.95,-0.87,106.5,3.08,3.56,-1.28,109.76,3.78
2009072414,0.045,1.84,0.55,73.47,1.92,3.2,0.1,88.29,3.2,2.95,-0.89,106.75,3.08,3.51,-1.58,114.22,3.85
2009072415,0.045,1.76,0.49,74.47,1.82,3.2,0.25,85.56,3.21,2.83,-0.84,106.47,2.95,3.18,-1.64,117.21,3.58
2009072416,0.06,1.68,0.4,76.8,1.73,3.1,0.15,87.23,3.1,2.65,-0.78,106.41,2.76,2.72,-1.51,119.06,3.11
2009072417,0.09,1.64,0.31,79.42,1.67,3.04,-0.1,91.82,3.04,2.56,-0.76,106.53,2.67,2.34,-1.25,118.14,2.65
2009072418,0.07,1.65,0.27,80.64,1.67,3.22,-0.33,95.94,3.23,2.71,-0.8,106.51,2.83,2.3,-0.91,111.63,2.48
2009072419,0.125,1.71,0.32,79.31,1.74,3.7,-0.44,96.73,3.73,3.18,-0.92,106.11,3.31,2.74,-0.55,101.35,2.79
2009072420,0.125,1.75,0.42,76.54,1.8,4.14,-0.4,95.52,4.16,3.64,-1,105.32,3.78,3.3,-0.22,93.88,3.3
2009072421,0.135,1.68,0.5,73.35,1.75,4.07,-0.25,93.53,4.08,3.68,-0.91,103.84,3.79,3.51,0,89.96,3.51
2009072422,0.18,1.45,0.54,69.48,1.55,3.19,-0.01,90.16,3.19,3.03,-0.55,100.26,3.08,3.06,0.1,88.09,3.06
2009072423,0.105,1.17,0.61,62.32,1.32,1.91,0.34,79.94,1.94,2.03,0.02,89.45,2.03,2.24,0.2,84.99,2.25
2009072500,0.12,0.99,0.82,50.55,1.29,0.81,0.81,45.09,1.15,1.19,0.7,59.65,1.38,1.52,0.44,73.73,1.58
2009072501,0.05,0.35,1.39,13.98,1.44,0.88,1.39,32.49,1.65,1.23,0.94,52.59,1.55,1.42,1.2,49.88,1.86
2009072502,0.03,0.38,1.97,10.95,2.01,0.96,1.96,26.1,2.18,1.26,1.54,39.27,1.99,1.38,1.55,41.61,2.07
2009072503,0,0.64,2.39,15.02,2.48,1.15,2.27,26.79,2.55,1.39,2.05,34.2,2.47,1.44,1.69,40.41,2.22
2009072504,0,0.9,2.55,19.41,2.7,1.23,2.26,28.56,2.57,1.43,2.3,31.9,2.71,1.54,1.7,42.12,2.29
2009072505,0.025,1.1,2.54,23.37,2.77,1.19,2.09,29.68,2.4,1.35,2.35,29.89,2.72,1.54,1.67,42.64,2.27
2009072506,0.035,1.24,2.52,26.12,2.81,1.06,1.99,28.15,2.26,1.17,2.32,26.74,2.6,1.28,1.68,37.28,2.11
2009072507,0,1.31,2.61,26.64,2.92,0.89,2.14,22.61,2.32,0.9,2.3,21.42,2.47,0.7,1.83,21.03,1.96
2009072508,0.075,1.31,2.78,25.23,3.08,0.72,2.51,16.04,2.62,0.65,2.43,15.03,2.51,0.05,2.15,1.38,2.15
2009072509,0.266,1.25,3.01,22.59,3.26,0.62,3.04,11.5,3.1,0.53,2.83,10.57,2.87,-0.34,2.68,352.82,2.7
2009072510,0.261,1.12,3.26,19,3.45,0.61,3.65,9.51,3.7,0.58,3.55,9.26,3.6,-0.24,3.43,356,3.44
2009072511,0.371,0.87,3.57,13.68,3.67,0.63,4.25,8.48,4.3,0.6,4.35,7.9,4.39,0.14,4.23,1.94,4.23
2009072512,0.316,0.42,3.98,6.08,4,0.6,4.77,7.14,4.81,0.34,4.9,3.92,4.92,0.5,4.88,5.86,4.91
2009072513,0.221,0.43,5.18,4.79,5.2,-0.37,5.01,355.74,5.02,0.58,5.25,6.34,5.28,0.59,5.83,5.77,5.85
2009072514,0.231,0.15,5.54,1.51,5.54,-1.2,4.91,346.25,5.05,0.38,5.41,3.97,5.42,0.75,6.26,6.84,6.31
2009072515,0.266,-0.24,5.97,357.68,5.98,-1.71,4.97,341.04,5.26,-0.08,5.51,359.2,5.51,0.65,6.39,5.8,6.43
2009072516,0.206,-0.69,6.54,354,6.58,-1.6,5.47,343.7,5.7,-0.7,5.7,352.97,5.74,0.37,6.31,3.36,6.32
2009072517,0.185,-1.08,7.13,351.39,7.21,-1.17,6.31,349.53,6.41,-1.33,6.11,347.7,6.25,-0.01,6.17,359.92,6.17
2009072518,0.175,-1.29,7.57,350.33,7.68,-0.84,7.27,353.45,7.32,-1.77,6.87,345.58,7.1,-0.41,6.13,356.15,6.14
2009072519,0.286,-1.21,7.74,351.1,7.83,-0.9,8.15,353.69,8.2,-1.82,7.99,347.14,8.19,-0.75,6.28,353.16,6.32
2009072520,0.09,-0.83,7.65,353.8,7.7,-1.1,8.67,352.77,8.74,-1.38,8.85,351.15,8.95,-0.89,6.41,352.07,6.47
2009072521,0,-0.16,7.38,358.78,7.38,-1.02,8.55,353.17,8.61,-0.31,8.69,357.96,8.7,-0.68,6.23,353.81,6.27
2009072522,0,0.75,6.95,6.19,6.99,-0.4,7.62,357.02,7.63,1.35,7.06,10.85,7.19,-0.03,5.55,359.74,5.55
2009072523,0,1.66,6.33,14.67,6.54,0.56,6.19,5.18,6.21,3.03,4.66,33.02,5.56,0.84,4.51,10.55,4.59
2009072600,0.015,2.26,5.43,22.57,5.88,1.5,4.69,17.74,4.92,3.99,2.49,58.06,4.7,1.63,3.36,25.93,3.73
2009072601,0.045,2.14,3.48,31.63,4.08,3.75,1.32,70.65,3.97,2.13,2.3,42.85,3.14,2.44,2.31,46.52,3.36
2009072602,0.055,2.47,2.6,43.46,3.59,2.76,1.01,70,2.94,2.42,1.48,58.57,2.83,3.18,2.25,54.74,3.9
2009072603,0.13,2.53,2.05,50.98,3.26,1.73,1.18,55.65,2.1,2.64,1.02,68.97,2.83,3.74,2.11,60.51,4.29
2009072604,0.18,2.4,1.79,53.27,3,1.2,1.53,38.15,1.94,2.91,0.98,71.39,3.07,4.1,1.94,64.69,4.53
2009072605,0.19,2.17,1.73,51.41,2.78,1.07,1.88,29.8,2.16,3.11,1.2,68.82,3.33,4.24,1.75,67.55,4.59
2009072606,0.18,1.94,1.76,47.74,2.62,1.12,2.12,27.8,2.4,3.09,1.47,64.52,3.42,4.14,1.58,69.08,4.44
2009072607,0.311,1.79,1.8,44.79,2.54,1.14,2.2,27.48,2.47,2.76,1.63,59.5,3.21,3.81,1.47,68.86,4.08
2009072608,0.261,1.73,1.9,42.38,2.57,1.16,2.23,27.57,2.51,2.29,1.77,52.31,2.89,3.35,1.51,65.68,3.67
2009072609,0.15,1.74,2.1,39.58,2.73,1.25,2.39,27.6,2.7,1.88,2.05,42.57,2.78,2.9,1.81,57.96,3.42
2009072610,0.13,1.81,2.46,36.31,3.05,1.46,2.8,27.46,3.16,1.74,2.58,33.91,3.11,2.58,2.42,46.91,3.54
2009072611,0.08,1.98,2.9,34.29,3.51,1.78,3.37,27.86,3.81,1.86,3.24,29.86,3.74,2.49,3.12,38.6,3.99
2009072612,0.065,2.31,3.35,34.63,4.07,2.22,3.96,29.24,4.53,2.22,3.83,30.12,4.43,2.69,3.66,36.31,4.54
2009072613,0.08,2.73,4.44,31.61,5.21,2.78,4.22,33.37,5.05,3.2,3.85,39.75,5,2.91,4,36.02,4.94
2009072614,0.07,3.27,4.79,34.33,5.79,3.38,4.4,37.53,5.55,3.84,3.81,45.23,5.41,3.38,4.26,38.39,5.44
2009072615,0.145,3.75,4.99,36.92,6.24,3.88,4.44,41.15,5.9,4.38,3.75,49.43,5.77,3.94,4.29,42.59,5.82
2009072616,0.165,4.12,5.03,39.29,6.5,4.16,4.37,43.62,6.04,4.67,3.82,50.72,6.03,4.52,4.11,47.69,6.11
2009072617,0.195,4.43,4.92,42.01,6.62,4.3,4.16,45.95,5.98,4.8,3.86,51.22,6.16,5.04,3.8,53.01,6.31
2009072618,0.185,4.75,4.63,45.76,6.63,4.41,3.77,49.44,5.8,4.95,3.65,53.61,6.15,5.43,3.39,58.02,6.4
2009072619,0.17,5.11,4.17,50.75,6.59,4.56,3.21,54.88,5.57,5.22,3.06,59.6,6.05,5.62,2.95,62.32,6.35
2009072620,0.17,5.28,3.62,55.59,6.4,4.64,2.59,60.8,5.31,5.42,2.31,66.92,5.89,5.56,2.51,65.69,6.1
2009072621,0.135,5.01,3.05,58.68,5.86,4.48,2.09,64.97,4.94,5.28,1.69,72.3,5.55,5.17,2.11,67.83,5.58
2009072622,0.055,4.15,2.54,58.51,4.87,3.97,1.82,65.33,4.37,4.66,1.42,73.08,4.87,4.46,1.77,68.31,4.8
2009072623,0.04,3.08,2.16,54.88,3.76,3.27,1.75,61.78,3.71,3.77,1.41,69.53,4.03,3.6,1.53,67.05,3.91
2009072700,0.025,2.27,1.96,49.15,3,2.58,1.8,55.11,3.15,2.93,1.48,63.26,3.28,2.83,1.38,64.08,3.15
2009072701,0.005,2.1,1.9,47.94,2.83,2.39,1.49,57.99,2.82,2.33,1.33,60.23,2.68,3.39,2.36,55.2,4.13
2009072702,0.015,1.91,2.01,43.49,2.78,2.12,1.5,54.71,2.59,2.07,1.37,56.52,2.49,3.26,2.04,57.94,3.84
2009072703,0.025,2.06,2.13,44.04,2.96,2.02,1.58,52,2.56,2.01,1.47,53.74,2.49,3.12,1.71,61.25,3.56
2009072704,0.055,2.56,2.22,49.04,3.39,2,1.77,48.49,2.67,2.08,1.61,52.28,2.63,3.02,1.4,65.21,3.33
2009072705,0.06,3.21,2.24,55.09,3.91,2.03,1.97,45.75,2.83,2.23,1.71,52.58,2.81,3.01,1.11,69.75,3.2
2009072706,0.07,3.77,2.14,60.44,4.33,2.06,2.04,45.35,2.9,2.43,1.7,54.94,2.97,3.13,0.87,74.4,3.25
2009072707,0.06,4.05,1.89,65.01,4.47,2.11,1.85,48.63,2.81,2.63,1.54,59.65,3.05,3.44,0.71,78.32,3.51
2009072708,0.09,4.16,1.61,68.86,4.46,2.3,1.51,56.8,2.75,2.89,1.27,66.28,3.16,3.85,0.62,80.8,3.9
2009072709,0.135,4.26,1.44,71.35,4.49,2.83,1.12,68.42,3.04,3.28,0.97,73.58,3.42,4.3,0.62,81.79,4.34
2009072710,0.095,4.47,1.46,71.87,4.71,3.76,0.8,78,3.85,3.81,0.7,79.66,3.88,4.72,0.69,81.63,4.77
2009072711,0.105,4.81,1.58,71.78,5.06,4.82,0.62,82.72,4.86,4.41,0.54,83.07,4.45,5.13,0.8,81.1,5.19
2009072712,0.1,5.24,1.63,72.7,5.49,5.6,0.62,83.72,5.63,4.95,0.56,83.57,4.98,5.59,0.89,80.9,5.66
2009072713,0.16,5.84,0.82,82.01,5.89,5.33,0.79,81.61,5.39,6.11,0.92,81.41,6.17,5.45,1.15,78.12,5.57
2009072714,0.281,5.71,1.09,79.18,5.82,5.56,1.05,79.35,5.66,6.57,0.87,82.49,6.63,6.06,1.05,80.12,6.15
2009072715,0.316,5.54,1.27,77.1,5.68,5.69,1.11,78.94,5.8,6.83,0.71,84.07,6.86,6.42,0.74,83.43,6.46
2009072716,0.271,5.54,1.23,77.5,5.67,5.76,0.85,81.64,5.82,6.78,0.47,86.08,6.8,6.57,0.32,87.24,6.58
2009072717,0.321,5.74,1.06,79.52,5.84,5.79,0.43,85.75,5.81,6.58,0.27,87.64,6.59,6.61,-0.02,90.2,6.61
2009072718,0.251,6.09,0.9,81.55,6.16,5.84,0.14,88.65,5.84,6.43,0.29,87.38,6.44,6.65,-0.08,90.65,6.65
2009072719,0.236,6.5,0.86,82.49,6.55,5.89,0.16,88.44,5.89,6.44,0.63,84.43,6.47,6.72,0.28,87.63,6.73
2009072720,0.311,6.67,0.86,82.64,6.73,5.77,0.39,86.13,5.79,6.38,1.08,80.35,6.47,6.61,0.81,83.05,6.66
2009072721,0.381,6.27,0.83,82.48,6.33,5.28,0.64,83.04,5.32,5.91,1.41,76.63,6.08,6.05,1.19,78.89,6.17
2009072722,0.361,5.11,0.7,82.19,5.16,4.29,0.79,79.55,4.36,4.84,1.42,73.69,5.05,4.88,1.21,76.1,5.03
2009072723,0.301,3.62,0.61,80.47,3.67,3.1,0.91,73.62,3.23,3.51,1.28,69.91,3.74,3.47,1.06,72.94,3.63
2009072800,0.201,2.36,0.71,73.24,2.46,2.13,1.14,61.75,2.42,2.38,1.25,62.25,2.69,2.28,1.05,65.22,2.51
2009072801,0.145,1.67,1.57,46.8,2.29,1.82,1.5,50.5,2.35,1.69,1.38,50.71,2.19,2.62,1.61,58.5,3.07
